handle_uk,title_uk,gender,url_uk
frankie-morello,Frankie Morello,woman,https://miomio.com.ua/uk/woman/frankie-morello
fratelli-rossetti,Fratelli Rossetti,woman,https://miomio.com.ua/uk/woman/fratelli-rossetti
fruit,Fru.it,woman,https://miomio.com.ua/uk/woman/fruit
furla,Furla,woman,https://miomio.com.ua/uk/woman/furla
ghoud-choloviche-vzuttya,GHOUD чоловіче взуття,man,https://miomio.com.ua/uk/man/ghoud-choloviche-vzuttya
ghoud,GHŌUD,woman,https://miomio.com.ua/uk/woman/ghoud
gimos,GIMO'S,woman,https://miomio.com.ua/uk/woman/gimos
giampiero-nicola,Giampiero Nicola,woman,https://miomio.com.ua/uk/woman/giampiero-nicola
gianmarco-lorenzi,Gianmarco Lorenzi,woman,https://miomio.com.ua/uk/woman/gianmarco-lorenzi
gianni-renzi-couture,Gianni Renzi Couture,woman,https://miomio.com.ua/uk/woman/gianni-renzi-couture
gift-idea,Gift Idea,woman,https://miomio.com.ua/uk/woman/gift-idea
gioseppo,Gioseppo,woman,https://miomio.com.ua/uk/woman/gioseppo
giovanni-fabiani,Giovanni Fabiani,woman,https://miomio.com.ua/uk/woman/giovanni-fabiani
gironacci,Gironacci,woman,https://miomio.com.ua/uk/woman/gironacci
good-man,Good Man,woman,https://miomio.com.ua/uk/woman/good-man
hestia-di-venezia,H'estia di Venezia,woman,https://miomio.com.ua/uk/woman/hestia-di-venezia
halmanera,Halmanera,woman,https://miomio.com.ua/uk/woman/halmanera
helena-soretti,Helena Soretti,woman,https://miomio.com.ua/uk/woman/helena-soretti
iceberg,ICEBERG,woman,https://miomio.com.ua/uk/woman/iceberg
inuikii,Inuikii,woman,https://miomio.com.ua/uk/woman/inuikii
jeannot,Jeannot,woman,https://miomio.com.ua/uk/woman/jeannot
jog-dog,Jog Dog,woman,https://miomio.com.ua/uk/woman/jog-dog
john-galliano,John Galliano,woman,https://miomio.com.ua/uk/woman/john-galliano
john-richmond,John Richmond,woman,https://miomio.com.ua/uk/woman/john-richmond
joyce-amp-girls,Joyce&Girls,woman,https://miomio.com.ua/uk/woman/joyce-amp-girls
just-cavalli,Just Cavalli,woman,https://miomio.com.ua/uk/woman/just-cavalli
kelton,KELTON,woman,https://miomio.com.ua/uk/woman/kelton
kalliste,Kalliste,woman,https://miomio.com.ua/uk/woman/kalliste
kanna,Kanna,woman,https://miomio.com.ua/uk/woman/kanna
karl-lagerfeld,Karl Lagerfeld,woman,https://miomio.com.ua/uk/woman/karl-lagerfeld
kat-maconie,Kat Maconie,woman,https://miomio.com.ua/uk/woman/kat-maconie
kennel-amp-schmenger,Kennel&Schmenger,woman,https://miomio.com.ua/uk/woman/kennel-amp-schmenger
kenzo,Kenzo,woman,https://miomio.com.ua/uk/woman/kenzo
lautre-chose,L'Autre Chose,woman,https://miomio.com.ua/uk/woman/lautre-chose
lawater,L.A.Water,woman,https://miomio.com.ua/uk/woman/lawater
l4k3,L4K3,woman,https://miomio.com.ua/uk/woman/l4k3
liu-jo,LIU JO,woman,https://miomio.com.ua/uk/woman/liu-jo
loriblu,LORIBLU,woman,https://miomio.com.ua/uk/woman/loriblu
love-moschino,LOVE MOSCHINO,woman,https://miomio.com.ua/uk/woman/love-moschino
lamborghini,Lamborghini,woman,https://miomio.com.ua/uk/woman/lamborghini
lancaster,Lancaster,woman,https://miomio.com.ua/uk/woman/lancaster
laura-bellariva,Laura Bellariva,woman,https://miomio.com.ua/uk/woman/laura-bellariva
lemon-jelly,Lemon Jelly,woman,https://miomio.com.ua/uk/woman/lemon-jelly
liviana-conti,Liviana Conti,woman,https://miomio.com.ua/uk/woman/liviana-conti
luca-grossi,Luca Grossi,woman,https://miomio.com.ua/uk/woman/luca-grossi
luca-guerrini,Luca Guerrini,woman,https://miomio.com.ua/uk/woman/luca-guerrini
mou,MOU,woman,https://miomio.com.ua/uk/woman/mou
ma-amp-lo,Ma&Lo,woman,https://miomio.com.ua/uk/woman/ma-amp-lo
mario-bruni,Mario Bruni,woman,https://miomio.com.ua/uk/woman/mario-bruni
mary-amp-co,Mary&Co,woman,https://miomio.com.ua/uk/woman/mary-amp-co
marzetti,Marzetti,woman,https://miomio.com.ua/uk/woman/marzetti
meimeij,MeiMeiJ,woman,https://miomio.com.ua/uk/woman/meimeij
meline,Meline,woman,https://miomio.com.ua/uk/woman/meline
menghi,Menghi,woman,https://miomio.com.ua/uk/woman/menghi
merlyn,Merlyn,woman,https://miomio.com.ua/uk/woman/merlyn
mi-amor,Mi Amor,woman,https://miomio.com.ua/uk/woman/mi-amor
mitica,Mitica,woman,https://miomio.com.ua/uk/woman/mitica
moreschi,Moreschi,woman,https://miomio.com.ua/uk/woman/moreschi
mot-cle,Mot-Cle,woman,https://miomio.com.ua/uk/woman/mot-cle
my-best-bag-firenze,My Best Bag Firenze,woman,https://miomio.com.ua/uk/woman/my-best-bag-firenze
new-collection-ghoud,New collection GHOUD,woman,https://miomio.com.ua/uk/woman/new-collection-ghoud
new-collection-ss26,New collection SS'26,woman,https://miomio.com.ua/uk/woman/new-collection-ss26
new-collection-ss26-choloviche,New collection SS'26 Man,man,https://miomio.com.ua/uk/man/new-collection-ss26-choloviche
new-collection-ss26-man-shoes,New collection SS'26 Man взуття,woman,https://miomio.com.ua/uk/woman/new-collection-ss26-man-shoes
ninalilou,Ninalilou,woman,https://miomio.com.ua/uk/woman/ninalilou
outlet-zhinoche-vzuttya,Outlet жіноче взуття,woman,https://miomio.com.ua/uk/woman/outlet-zhinoche-vzuttya
outlet-choloviche-vzuttya,Outlet чоловіче взуття,man,https://miomio.com.ua/uk/man/outlet-choloviche-vzuttya
premiata-choloviche-vzuttya,PREMIATA чоловіче взуття,man,https://miomio.com.ua/uk/man/premiata-choloviche-vzuttya
pal-zileri,Pal Zileri,woman,https://miomio.com.ua/uk/woman/pal-zileri
paloma-barcelo,Paloma Barcelo,woman,https://miomio.com.ua/uk/woman/paloma-barcelo
panicale,Panicale,woman,https://miomio.com.ua/uk/woman/panicale
paola-fiorenza,Paola Fiorenza,woman,https://miomio.com.ua/uk/woman/paola-fiorenza
pas-de-rouge,Pas de Rouge,woman,https://miomio.com.ua/uk/woman/pas-de-rouge
patrizio-dolci,Patrizio Dolci,woman,https://miomio.com.ua/uk/woman/patrizio-dolci
paul-smith,Paul Smith,woman,https://miomio.com.ua/uk/woman/paul-smith
paul-smith-choloviche,Paul Smith чоловіче,man,https://miomio.com.ua/uk/man/paul-smith-choloviche
pegada,Pegada,woman,https://miomio.com.ua/uk/woman/pegada
people-of-shibuya,People of Shibuya,woman,https://miomio.com.ua/uk/woman/people-of-shibuya
peserico,Peserico,woman,https://miomio.com.ua/uk/woman/peserico
philipp-plein,Philipp Plein,woman,https://miomio.com.ua/uk/woman/philipp-plein
pokemaoke,Pokemaoke,woman,https://miomio.com.ua/uk/woman/pokemaoke
pollini,Pollini,woman,https://miomio.com.ua/uk/woman/pollini
prada,Prada,woman,https://miomio.com.ua/uk/woman/prada
premiata,Premiata,woman,https://miomio.com.ua/uk/woman/premiata
run-of,RUN OF,woman,https://miomio.com.ua/uk/woman/run-of
redwood,Redwood,woman,https://miomio.com.ua/uk/woman/redwood
renato-angi,Renato Angi,woman,https://miomio.com.ua/uk/woman/renato-angi
renzi,Renzi,woman,https://miomio.com.ua/uk/woman/renzi
repo,Repo,woman,https://miomio.com.ua/uk/woman/repo
roberto-botticelli,Roberto Botticelli,woman,https://miomio.com.ua/uk/woman/roberto-botticelli
roberto-cavalli,Roberto Cavalli,woman,https://miomio.com.ua/uk/woman/roberto-cavalli
roberto-serpentini,Roberto Serpentini,woman,https://miomio.com.ua/uk/woman/roberto-serpentini
rylko,Rylko,woman,https://miomio.com.ua/uk/woman/rylko
shy-arvid-yuki,SHY Arvid Yuki,woman,https://miomio.com.ua/uk/woman/shy-arvid-yuki
santoni,Santoni,woman,https://miomio.com.ua/uk/woman/santoni
sara-burglar,Sara Burglar,woman,https://miomio.com.ua/uk/woman/sara-burglar
sergio-amaranti,Sergio Amaranti,woman,https://miomio.com.ua/uk/woman/sergio-amaranti
sergio-serrano,Sergio Serrano,woman,https://miomio.com.ua/uk/woman/sergio-serrano
soldini80,Soldini80,woman,https://miomio.com.ua/uk/woman/soldini80
stokton,Stokton,woman,https://miomio.com.ua/uk/woman/stokton
tatras,TATRAS,woman,https://miomio.com.ua/uk/woman/tatras
test-collection,Test collection,woman,https://miomio.com.ua/uk/woman/test-collection
tiffi,Tiffi,woman,https://miomio.com.ua/uk/woman/tiffi
tosca-blu,Tosca Blu,woman,https://miomio.com.ua/uk/woman/tosca-blu
uggari,Uggari,woman,https://miomio.com.ua/uk/woman/uggari
unisa,Unisa,woman,https://miomio.com.ua/uk/woman/unisa
valentino,Valentino,woman,https://miomio.com.ua/uk/woman/valentino
vic-matie,Vic Matie,woman,https://miomio.com.ua/uk/woman/vic-matie
voile-blanche,Voile Blanche,woman,https://miomio.com.ua/uk/woman/voile-blanche
voile-blanche-zhinochi-vzuttya,Voile Blanche жіноче взуття,woman,https://miomio.com.ua/uk/woman/voile-blanche-zhinochi-vzuttya
voile-blanche-cholovichyj-vzuttya,Voile Blanche чоловіче взуття,man,https://miomio.com.ua/uk/man/voile-blanche-cholovichyj-vzuttya
demi-w,demi w,woman,https://miomio.com.ua/uk/woman/demi-w
elysess,Élysèss,woman,https://miomio.com.ua/uk/woman/elysess
aksesuary-zhinochi,Аксесуари жіночі,woman,https://miomio.com.ua/uk/woman/aksesuary-zhinochi
aksesuary-cholovichi,Аксесуари чоловічі,man,https://miomio.com.ua/uk/man/aksesuary-cholovichi
baletky-ta-mokasyny,Балетки та мокасини,woman,https://miomio.com.ua/uk/woman/baletky-ta-mokasyny
bluzy-ta-sorochky,Блузи та сорочки,woman,https://miomio.com.ua/uk/woman/bluzy-ta-sorochky
bluzy-ta-sorochky-zhinochi,Блузи та сорочки,woman,https://miomio.com.ua/uk/woman/bluzy-ta-sorochky-zhinochi
bosonizhky,Босоніжки,woman,https://miomio.com.ua/uk/woman/bosonizhky
verhnij-odyag-zhinochiy,Верхній одяг,woman,https://miomio.com.ua/uk/woman/verhnij-odyag-zhinochiy
verhnij-odyag-cholovicha,Верхній одяг,man,https://miomio.com.ua/uk/man/verhnij-odyag-cholovicha
choloviche-vzuttya,Взуття,man,https://miomio.com.ua/uk/man/choloviche-vzuttya
gamanci,Гаманці,woman,https://miomio.com.ua/uk/woman/gamanci
golovni-ubory,Головні убори,woman,https://miomio.com.ua/uk/woman/golovni-ubory
golovni-ubory-zhinochi,Головні убори,woman,https://miomio.com.ua/uk/woman/golovni-ubory-zhinochi
dzhynsy,Джинси,woman,https://miomio.com.ua/uk/woman/dzhynsy
dzhynsy-cholovichi,Джинси,man,https://miomio.com.ua/uk/man/dzhynsy-cholovichi
dorozhni-sumky,Дорожні сумки,woman,https://miomio.com.ua/uk/woman/dorozhni-sumky
zhinoche-vzuttya,Жіноче взуття,woman,https://miomio.com.ua/uk/woman/zhinoche-vzuttya
klatchi,Клатчи,woman,https://miomio.com.ua/uk/woman/klatchi
kostyumy-zhinochi,Комплекти,woman,https://miomio.com.ua/uk/woman/kostyumy-zhinochi
krosivky-ta-kedy,Кросівки та кеди,woman,https://miomio.com.ua/uk/woman/krosivky-ta-kedy
krosivky-ta-kedy-cholovichi,Кросівки та кеди,man,https://miomio.com.ua/uk/man/krosivky-ta-kedy-cholovichi
litni-zhinochi-krosivky-ta-kedy,Літні жіночі кросівки та кеди,woman,https://miomio.com.ua/uk/woman/litni-zhinochi-krosivky-ta-kedy
litni-cholovichi-krosivky-ta-kedy,Літні чоловічі кросівки та кеди,man,https://miomio.com.ua/uk/man/litni-cholovichi-krosivky-ta-kedy
mokasyny,Мокасини,woman,https://miomio.com.ua/uk/woman/mokasyny
nova-kolektsiya-zhinoche-vzutyya-ss26,Нова колекція жіноче взуття SS'26,woman,https://miomio.com.ua/uk/woman/nova-kolektsiya-zhinoche-vzutyya-ss26
nova-kolektsiya-zhinochiy-odyag-ss26,Нова колекція жіночий одяг SS'26,woman,https://miomio.com.ua/uk/woman/nova-kolektsiya-zhinochiy-odyag-ss26
new-collection-meimeij,Нова колекція одягу,woman,https://miomio.com.ua/uk/woman/new-collection-meimeij
nova-kolektsiya-choloviche-vzuttya-ss26,Нова колекція чоловіче взуття SS'26,man,https://miomio.com.ua/uk/man/nova-kolektsiya-choloviche-vzuttya-ss26
nova-kolektsiya-cholovichiy-odyag-ss26,Нова колекція чоловічий одяг SS'26,woman,https://miomio.com.ua/uk/woman/nova-kolektsiya-cholovichiy-odyag-ss26
odyag,Одяг,woman,https://miomio.com.ua/uk/woman/odyag
zhinochyj-odyag,Одяг,woman,https://miomio.com.ua/uk/woman/zhinochyj-odyag
cholovichyj-odyag,Одяг,man,https://miomio.com.ua/uk/man/cholovichyj-odyag
oksfordy-ta-lofery,Оксфорди та лофери,woman,https://miomio.com.ua/uk/woman/oksfordy-ta-lofery
portmone,Портмоне,woman,https://miomio.com.ua/uk/woman/portmone
portfeli,Портфелі,woman,https://miomio.com.ua/uk/woman/portfeli
pidzhaky-zhinochi,Піджаки,woman,https://miomio.com.ua/uk/woman/pidzhaky-zhinochi
pidzhaky,Піджаки,woman,https://miomio.com.ua/uk/woman/pidzhaky
remeni,Ремені,woman,https://miomio.com.ua/uk/woman/remeni
remeni-ta-poyasi,Ремені та пояси,woman,https://miomio.com.ua/uk/woman/remeni-ta-poyasi
rukavichki,Рукавички,woman,https://miomio.com.ua/uk/woman/rukavichki
ryukzaky,Рюкзаки,woman,https://miomio.com.ua/uk/woman/ryukzaky
ryukzaky-cholovichi,Рюкзаки,man,https://miomio.com.ua/uk/man/ryukzaky-cholovichi
sabo-ta-myuli,Сабо та мюлі,woman,https://miomio.com.ua/uk/woman/sabo-ta-myuli
sandaliyi,Сандалії,woman,https://miomio.com.ua/uk/woman/sandaliyi
svetry-ta-dzhempery,Светри та джемпери,woman,https://miomio.com.ua/uk/woman/svetry-ta-dzhempery
svetry-ta-dzhempery-cholovichi,Светри та джемпери,man,https://miomio.com.ua/uk/man/svetry-ta-dzhempery-cholovichi
svitshoty-ta-kofty,Світшоти та кофти,woman,https://miomio.com.ua/uk/woman/svitshoty-ta-kofty
svitshoty-ta-kofty-cholovichi,Світшоти та кофти,man,https://miomio.com.ua/uk/man/svitshoty-ta-kofty-cholovichi
sorochky,Сорочки,woman,https://miomio.com.ua/uk/woman/sorochky
sportyvni-kostyumy,Спортивні костюми,woman,https://miomio.com.ua/uk/woman/sportyvni-kostyumy
sportyvni-kostyumy-zhinochi,Спортивні костюми,woman,https://miomio.com.ua/uk/woman/sportyvni-kostyumy-zhinochi
spidnyci,Спідниці,woman,https://miomio.com.ua/uk/woman/spidnyci
sukni-ta-sarafany,Сукні та сарафани,woman,https://miomio.com.ua/uk/woman/sukni-ta-sarafany
sumky,Сумки,woman,https://miomio.com.ua/uk/woman/sumky
sumky-cholovichi,Сумки,man,https://miomio.com.ua/uk/man/sumky-cholovichi
tufli,Туфлі,woman,https://miomio.com.ua/uk/woman/tufli
tufli-cholovichi,Туфлі,man,https://miomio.com.ua/uk/man/tufli-cholovichi
futbolky,Футболки,woman,https://miomio.com.ua/uk/woman/futbolky
futbolky-ta-polo,Футболки та поло,woman,https://miomio.com.ua/uk/woman/futbolky-ta-polo
cherevyky,Черевики,woman,https://miomio.com.ua/uk/woman/cherevyky
cherevyky-ta-botyljony,Черевики та ботильйони,woman,https://miomio.com.ua/uk/woman/cherevyky-ta-botyljony
choboty,Чоботи,woman,https://miomio.com.ua/uk/woman/choboty
shlopanci-ta-vyetnamky-cholovichi,Шльопанці та в'єтнамки,man,https://miomio.com.ua/uk/man/shlopanci-ta-vyetnamky-cholovichi
shlopanci-ta-vyetnamky-zhinochi,Шльопанці та в'єтнамки,woman,https://miomio.com.ua/uk/woman/shlopanci-ta-vyetnamky-zhinochi
shorty,Шорти,woman,https://miomio.com.ua/uk/woman/shorty
shorty-cholovichi,Шорти,man,https://miomio.com.ua/uk/man/shorty-cholovichi
shtany-ta-bryuky-zhinochi,Штани та брюки,woman,https://miomio.com.ua/uk/woman/shtany-ta-bryuky-zhinochi
shtany-ta-bryuky,Штани та брюки,woman,https://miomio.com.ua/uk/woman/shtany-ta-bryuky
